Cant_muest,ID_CIAT,ID,Cultivar,Location,Fecha,Easting,Northing,Elevation,Longitude,Latitude,Neutral_Detergent,Acid_Detergent,dry_matter,Dry_Weight,Fresh_Weight,Grass_Height,NDVI__handheld,DM_g_m2,Crude_Protein,In_vitro_digestibility,Ash,Blue,Green,Red,NIR,NIR/B,R/B,R/G,R/NIR,G/B,G/R,G/NIR,B/G,B/R,B/NIR,NDVI,LAI,EVI,MSAVI2,GRVI,RVI,GNDVI,SAVI,GOSAVI,DVI,VARI,RDVI,NLI,MSR,GLI,IPVI,coords.x1,coords.x2
1,F18-1086,1,Mombaza,El Eden,9/18/2018,1000179.967,717023.321,622.002,-77.04332048,2.021368945,66.87,34.47,90.9,116.1,426.2,100,0.84,422.1396,7.8,64.37,8.31,1112,1354,1600,3275,2.945143938,1.438848972,1.181683898,0.48854962,1.217625856,0.846249998,0.413435102,0.821270287,0.694999993,0.339541972,0.343589753,0.596101403,0.197374627,0.51145041,2.418759346,2.046875,0.414992452,0.515331745,0.414978087,1675,-0.083276913,0.339541972,0.999701679,0.430690408,-0.000738007,0.671794891,1000179.967,717023.321
2,F18-1087,2,Mombaza,El Eden,9/18/2018,1000177.539,717016.14,623.429,-77.04332834,2.021345568,65.72,33.77,91.19,194.9,626.9,96,0.84,710.91724,6.61,62.9,8.59,1119,1368,1596,3232,2.888293028,1.426273465,1.166666627,0.493811876,1.222520113,0.857142866,0.423267335,0.817982435,0.701127827,0.346225262,0.338856667,0.579951525,0.19291088,0.506188154,2.362573147,2.025062561,0.405217379,0.508232355,0.405203283,1636,-0.07692308,0.346225262,0.999694467,0.423047006,0.003852504,0.669428349,1000177.539,717016.14
3,F18-1088,3,Mombaza,El Eden,9/18/2018,1000181.215,717006.798,623.856,-77.04331644,2.021315151,65.83,33.55,91.35,151.8,474.5,80,0.79,554.6772,6.27,61.14,6.44,1122,1329,1569,3255,2.901069403,1.398395777,1.180586934,0.48202765,1.184491992,0.847036302,0.408294916,0.844243765,0.715105176,0.344700456,0.349502474,0.605256796,0.199905142,0.51797241,2.449209929,2.074569702,0.420157075,0.524199426,0.420142382,1686,-0.082815737,0.344700456,0.999703884,0.440336704,-0.006169377,0.674751222,1000181.215,717006.798
4,F18-1089,4,Mombaza,El Eden,9/18/2018,1000188.665,717003.857,623.369,-77.04329234,2.021305577,67.17,35.29,91.24,132.1,405.7,90,0.86,482.11216,6.65,59.83,8.91,1066,1291,1519,3127,2.933395863,1.424953103,1.176607251,0.485769093,1.211069465,0.849901259,0.412855774,0.825716496,0.701777458,0.340901822,0.346104175,0.600701332,0.198646039,0.514230907,2.422153473,2.058591127,0.415572643,0.519100428,0.415557593,1608,-0.08113879,0.340901822,0.999689341,0.434779108,-0.000580608,0.673052073,1000188.665,717003.857
5,F18-1090,5,Mombaza,El Eden,9/18/2018,1000189.415,716995.306,623.301,-77.04328991,2.021277739,62.08,30.89,90.92,98.8,335.2,70,0.83,359.31584,9.55,65.76,9.51,967,1194,1422,3032,3.135470629,1.470527411,1.190954804,0.468997359,1.234746695,0.839662433,0.393799484,0.80988276,0.680028141,0.318931401,0.361472845,0.655878067,0.213896632,0.53100282,2.539363384,2.132208109,0.434926659,0.542148411,0.434910148,1610,-0.087155961,0.318931401,0.999690711,0.460208267,-0.000209336,0.680736423,1000189.415,716995.306
6,F18-1091,1,Mombaza,California,9/18/2018,996253.021,716941.765,597.792,-77.06402794,2.021103299,60.52,29.83,90.98,7.2,32.1,40,0.77,26.20224,17.05,74.61,10.18,845,1072,1185,3109,3.679290056,1.402366877,1.105410457,0.381151497,1.268639088,0.90464133,0.34480539,0.788246274,0.713080168,0.271791577,0.448067069,0.933039069,0.290502787,0.618850768,2.900186539,2.623628616,0.487204015,0.672022343,0.487185359,1924,-0.05006646,0.271791577,0.999754846,0.619761944,0.02731193,0.724033535,996253.021,716941.765
7,F18-1092,2,Mombaza,California,9/18/2018,996244.895,716935.221,597.586,-77.06405424,2.021081991,67.43,36.26,91.55,29.5,93.8,71,0.55,108.029,7.66,62.04,10.05,896,1099,1222,3081,3.438616037,1.363839269,1.11191988,0.396624476,1.2265625,0.899345338,0.356702358,0.815286636,0.733224213,0.290814668,0.432024181,0.863361955,0.271244317,0.603377283,2.803457737,2.521276712,0.474162668,0.647960961,0.474144518,1859,-0.0529944,0.290814668,0.999742568,0.587852776,0.018535681,0.716012061,996244.895,716935.221
8,F18-1093,3,Mombaza,California,9/18/2018,996229.595,716929.266,597.512,-77.06410375,2.021062603,65.11,34.46,92.09,13.5,39.6,105,0.44,49.7286,7.19,59.32,11.77,866,1096,1249,3047,3.518475771,1.442263246,1.139598489,0.409911394,1.26558888,0.877502024,0.359698057,0.790145993,0.693354666,0.28421399,0.418528855,0.836564183,0.263837516,0.590089917,2.780109406,2.439551592,0.470914811,0.627720237,0.470896602,1798,-0.065245204,0.28421399,0.999731004,0.561906397,0.017877873,0.709264457,996229.595,716929.266
9,F18-1094,4,Mombaza,California,9/18/2018,996221.736,716938.675,597.134,-77.06412918,2.021093236,63.49,32.94,91.86,19.4,55.3,60,0.52,71.28336,8.61,63.13,12.69,845,1067,1185,3053,3.613017797,1.402366877,1.110590458,0.388142824,1.262721896,0.900421917,0.349492311,0.791940033,0.713080168,0.27677694,0.440773964,0.905910611,0.283004582,0.611859262,2.861293316,2.576371193,0.482038826,0.661082923,0.48202011,1868,-0.05239787,0.27677694,0.999745786,0.605107903,0.024975985,0.720386982,996221.736,716938.675
10,F18-1095,5,Mombaza,California,9/18/2018,996211.408,716930.079,597.688,-77.0641626,2.021065249,64.6,34.91,91.78,27.3,80.4,105,0.54,100.22376,7.26,61.95,12.51,905,1096,1266,3034,3.352486134,1.398895025,1.155109525,0.417270929,1.211049676,0.865718782,0.361239284,0.825729907,0.714849949,0.29828608,0.411162794,0.800078988,0.253753185,0.582730174,2.768248081,2.396524429,0.469249398,0.616672456,0.469231188,1768,-0.071972907,0.29828608,0.999724984,0.548071206,0.004813202,0.705581367,996211.408,716930.079
